id,average_weight,mechanics
101850,0,Dice Rolling
101853,0,Route/Network Building
101859,0,"Grid Movement,Pattern Building"
10186,2.8421,"Hex-and-Counter,Simulation"
101861,0,
101862,0,"Area Control / Area Influence,Roll / Spin and Move,Set Collection,Simulation"
101864,1.3333,"Card Drafting,Deck / Pool Building,Hand Management"
101865,2.3462,"Dice Rolling,Variable Player Powers"
10187,1,Set Collection
101871,0,"Dice Rolling,Trick-taking"
101872,1.2,
101874,0,
101879,0,"Acting,Memory"
10188,2,Memory
10189,0,"Roll / Spin and Move,Set Collection"
101898,2,"Betting/Wagering,Co-operative Play,Partnerships,Set Collection,Voting"
101899,0,"Card Drafting,Dice Rolling"
1019,1.5,Variable Player Powers
10190,0,Memory
101906,3.3333,"Auction/Bidding,Card Drafting,Modular Board,Set Collection,Simultaneous Action Selection"
10191,2,
10192,1,"Dice Rolling,Press Your Luck"
101921,2.825,"Dice Rolling,Modular Board,Partnerships,Pick-up and Deliver,Role Playing,Variable Player Powers"
101922,0,Card Drafting
101923,0,Roll / Spin and Move
101924,0,Dice Rolling
101926,1,"Hand Management,Set Collection,Simultaneous Action Selection"
101927,0,
101929,2.6047,"Campaign / Battle Card Driven,Card Drafting,Modular Board"
10193,0,"Memory,Point to Point Movement,Roll / Spin and Move"
101930,1.5312,"Dice Rolling,Hand Management,Set Collection,Variable Player Powers"
101932,0,"Co-operative Play,Dice Rolling,Hand Management"
101934,0,Hex-and-Counter
101937,1,"Area Control / Area Influence,Dice Rolling"
10194,1,"Point to Point Movement,Simultaneous Action Selection"
101942,2.25,
101945,0,"Dice Rolling,Hand Management,Roll / Spin and Move"
101946,0,Auction/Bidding
101947,0,"Hand Management,Memory,Set Collection"
101949,1.8182,"Co-operative Play,Dice Rolling,Simultaneous Action Selection"
10195,0,Memory
101951,0,"Dice Rolling,Pattern Recognition,Roll / Spin and Move"
101954,1,Dice Rolling
10196,1.6667,"Area Movement,Modular Board"
10197,1,
10198,0,"Pattern Recognition,Tile Placement"
101988,3.3636,"Action Point Allowance System,Area Movement,Point to Point Movement,Variable Player Powers"
10199,1,"Memory,Roll / Spin and Move,Storytelling"
101996,0,"Betting/Wagering,Card Drafting,Hand Management,Set Collection"
102,1.7647,Set Collection
1020,2.1667,
10200,1.5,"Memory,Roll / Spin and Move"
102002,0,"Action Point Allowance System,Co-operative Play,Dice Rolling,Modular Board,Variable Player Powers"
102005,0,
102008,0,Dice Rolling
102009,0,Simulation
10201,1,"Auction/Bidding,Dice Rolling,Roll / Spin and Move,Set Collection,Trading"
10202,0,"Auction/Bidding,Dice Rolling,Roll / Spin and Move,Set Collection,Trading"
102029,3,"Dice Rolling,Hex-and-Counter,Simultaneous Action Selection"
10203,1.2,"Memory,Simultaneous Action Selection"
102034,1.5714,"Dice Rolling,Hex-and-Counter"
102037,2,Acting
10204,1,"Area Movement,Hand Management,Pick-up and Deliver,Point to Point Movement,Simultaneous Action Selection"
102047,0,"Betting/Wagering,Pattern Recognition"
102049,0,"Dice Rolling,Partnerships"
10205,1,"Pattern Building,Pattern Recognition"
102051,0,"Dice Rolling,Hex-and-Counter"
102053,5,"Dice Rolling,Hex-and-Counter"
102055,3.5,"Action Point Allowance System,Dice Rolling,Hex-and-Counter,Simultaneous Action Selection"
10206,1.2875,Pattern Building
102061,2.3,"Dice Rolling,Simultaneous Action Selection"
102062,0,
102064,3,"Action Point Allowance System,Area Movement,Card Drafting,Dice Rolling,Hand Management,Partnerships,Variable Player Powers"
10207,1,"Rock-Paper-Scissors,Roll / Spin and Move,Simultaneous Action Selection"
10208,1.3333,"Card Drafting,Roll / Spin and Move,Trading"
102088,2,"Hand Management,Point to Point Movement,Route/Network Building"
102097,0,"Card Drafting,Hand Management"
1021,0,"Auction/Bidding,Dice Rolling"
10210,2,Paper-and-Pencil
102104,1.4303,"Hand Management,Set Collection"
102105,2,"Hand Management,Pattern Building,Set Collection,Storytelling"
102107,1.5,"Modular Board,Variable Phase Order"
10211,0,"Hex-and-Counter,Modular Board"
102115,0,
102116,0,
102117,0,
102118,2,
102119,2,
102121,0,
10213,1.55,Grid Movement
102137,0,Dice Rolling
10214,3.4286,"Area Control / Area Influence,Area Movement,Hex-and-Counter,Simulation"
102143,1.6667,"Dice Rolling,Simultaneous Action Selection"
102144,2,
102145,3.2,Chit-Pull System
102148,1.6038,"Secret Unit Deployment,Variable Player Powers"
102149,0,
10215,3,"Dice Rolling,Hex-and-Counter"
102150,3,"Auction/Bidding,Route/Network Building"
102151,2.6,"Co-operative Play,Route/Network Building"
102152,2,"Route/Network Building,Stock Holding"
102153,3.3333,"Card Drafting,Route/Network Building,Stock Holding"
102154,4,"Route/Network Building,Stock Holding"
